sentence_id,title,sentence_text,paragraph_text,origin_sentence,category
70365,ME-12-09-33735-44,"עדות של היא של ה מתלוננת אמינה , עקבית ו ה גיונית , עדות אשר יש ל היא חיזוקים מ עדים שונים , מ ראיות נוספות ו מכוונים שונים .","טענתו של הנאשם כאילו המתלוננת מילאה סיפורים ופרטים בדיעבד, איננה מתקבלת על הדעת ואף איננה מתיישבת עם צורת היומן. היומן נקרא ברצף, סיפור רודף סיפור, כאשר מידי פעם כותבת המתלוננת סיכומי שיעור והגיגים של ילדה בת 12, שאינם קשורים בהכרח לנאשם. בנסיבות העניין, יש מקום לדחות את כל טענותיו של הנאשם בנוגע ליומן ולנסיבות כתיבתו ולקבל את האמור בו כראיה עצמאית וכחיזוק לעדותה של המתלוננת. עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים."," עדותה של המתלוננת אמינה, עקבית והגיונית, עדות אשר יש לה חיזוקים מעדים שונים, מראיות נוספות ומכוונים שונים",אמינה בגלל חיזוק חיצוני
71138,ME-12-09-33735-44,"לאחר שמיעת ה עדויות ו לאור מכלול ה ראיות , הגעתי ל כלל מסקנה כי עדות של היא של ה מתלוננת מהימנה ו אני מעדיפה את היא על פני עדות של הוא של ה נאשם .","הערכת מהימנות הצדדים 33.  לאחר שמיעת העדויות ולאור מכלול הראיות, הגעתי לכלל מסקנה כי עדותה של המתלוננת מהימנה ואני מעדיפה אותה על פני עדותו של הנאשם.","  לאחר שמיעת העדויות ולאור מכלול הראיות, הגעתי לכלל מסקנה כי עדותה של המתלוננת מהימנה ואני מעדיפה אותה על פני עדותו של הנאשם",אמינה בגלל שהנאשם לא אמין
87269,ME-08-1002-864,"אפתח ו אומר , כי גרסה של היא של ה מתלוננת עצמה אינה עקבית ו מאופיינת ב סתירות מהותיות ו ב חללים פנימיים , ש באו ל ידי ביטוי , במיוחד , ב תיאורה את התנהגות של היא ו התנהגות ה נאשם , ו ב ה דינמיקה ש היתה בין הם ב מהלך אותו לילה , מן הן ניתן ללמוד על קרבה אינטימית בין הם , על משיכה מינית מ צד של היא ו על הסכמה של היא ל קיום ה יחסים .","4. אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים."," אפתח ואומר, כי גרסתה של המתלוננת עצמה אינה עקבית ומאופיינת בסתירות מהותיות ובחללים פנימיים, שבאו לידי ביטוי, במיוחד, בתיאורה את התנהגותה והתנהגות הנאשם, ובדינמיקה שהיתה ביניהם במהלך אותו לילה, מהן ניתן ללמוד על קרבה אינטימית ביניהם, על משיכה מינית מצדה ועל הסכמתה לקיום היחסים","לא אמינה כי לא עקבית, הציגה סתירות"
87394,ME-08-1002-864,"ראשית , תמוה ב עין של אני , מדוע היה על ה מתלוננת , עת מבוצעים ב היא לכאורה מעשים מיניים בניגוד ל הסכמה של היא , ו כש היא עושה כל ש ל אלטידה בכדי ל הפסיקם , לציין בפני מבצע ה מעשים כי היא "" חרמנית "" ? ! שנית , גרסה זו של ה מתלוננת אינה אחידה .","ג. כאמור, במסגרת אותו האקט (מין אוראלי לגרסתו הנאשם, נשיקה על איבר מינה לגרסת המתלוננת) העיד הנאשם, כי המתלוננת אמרה לו שהיא ""חרמנית"". בחקירתה הנגדית אישרה המתלוננת, כי אמרה לנאשם שהיא חרמנית אלא שלטענתה המשך המשפט היה ""ואני שיכורה ואני עדיין אומרת לך לא, אתה תתחרט על זה."" (עמ' 23 ש' 26 לפרוט'). ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה. כשהטיח בה הנאשם, במסגרת העימות שנערך ביניהם במשטרה, כי אמרה לו שהיא ""חרמנית"", לא טענה המתלוננת, כי אמרה לו ""לא"" או כי הוא יתחרט על מעשיו אלא השיבה לו "" אמרתי לך אני חרמנית, ואתה מנצל אותי, ואתה יודע מה אתה עושה, ואני שיכורה, ואתה מודע לכך שאני שיכורה"" (דו""ח עימות מוצג ת/1 עמ' 12). זאת ועוד, במקום אחר בחקירתה הנגדית (עמ' 38 לפרוט', ש' 5-11), הכחישה המתלוננת, חזור והכחש, שאמרה לו שהיא חרמנית, וזאת בניסיון לתת הסבר למה שקרה ביניהם."," ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה","לא אמינה כי לא עקבית, הציגה סתירות"
87978,ME-10-08-28161-260,"הגנת ה נאשם ו טענה של הוא ה צריכות ל הכרעה ב הליך ה נוכחי , לנוכח ה ראיות ש הובאו ע""י ה מאשימה , מתמקדות ב כך , ש מחד גיסא אין עדות של היא של ה קטינה , כפי ש ניתנה בפני חוקרת ילדים , מהימנה כלל ו עיקר , ו מאידך גיסא - גם אין ב נמצא כל ראיית סיוע ל עדות של היא זו , דבר ש היעדרו , לפי ה חוק , חייב להוביל ל זיכוי ה נאשם .","הגנת הנאשם וטענותיו הצריכות להכרעה בהליך הנוכחי, לנוכח הראיות שהובאו ע""י המאשימה, מתמקדות בכך, שמחד גיסא אין עדותה של הקטינה, כפי שניתנה בפני חוקרת ילדים, מהימנה כלל ועיקר, ומאידך גיסא - גם אין בנמצא כל ראיית סיוע לעדותה זו, דבר שהיעדרו, לפי החוק, חייב להוביל לזיכוי הנאשם. בשני מישורים אלה, מהימנות ומשקל עדות הילדה, ושאלת קיומו של סיוע חיצוני לעדותה, יתמקד דיוננו לאחר סקירת מערך הראיות בתיק.","הגנת הנאשם וטענותיו הצריכות להכרעה בהליך הנוכחי, לנוכח הראיות שהובאו ע""י המאשימה, מתמקדות בכך, שמחד גיסא אין עדותה של הקטינה, כפי שניתנה בפני חוקרת ילדים, מהימנה כלל ועיקר, ומאידך גיסא - גם אין בנמצא כל ראיית סיוע לעדותה זו, דבר שהיעדרו, לפי החוק, חייב להוביל לזיכוי הנאשם","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל"
88492,ME-10-08-28161-260,עדות של היא ה גרעינית של ה ילדה עקבית ו מדוייקת ב הזדמנויות ש ב הן ניתן ל היא לפרטה .,"1. עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה. הן בחשיפה הראשונית בפני אביה, שתועדה והוקלטה על ידו, זמן קצר אחרי ששוחחה איתו על כך לראשונה (ולפי שאני מאמין לעדות האב ולמהימנותו עת העיד על פרטי השיחה הראשונית - הרי מדובר כבר בשלב זה על פעמיים שבהם חזרה על סיפורה), והן בעדות בפני חוקרת הילדים. הגרעין הבסיסי של התלונה, אף עולה מהתיאור הלקוני של ניסיונה לחשוף את הפגיעה בה בפני אמה, ניסיון שלמרבה הצער נתקל במה שרק ניתן להגדיר כאדישות, אם לא כעצימת עיניים, מצד האם.", עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
90842,s00003108,"ו כפי ש ציינתי שתי ה גרסאות של ה מתלוננת תואמות , מצטלבות ו משתלבות כך ש ל ביהמ""ש לא ברור מדוע בחר ה נאשם להגיש את נ/1 כ ראייה מטעם של הוא .","המתלוננת לא עומתה גם עם גרסתה שבנ/1, ולא נשאלה לעניין זה אפילו שאלה אחת. מעיון בנ/1 ניתן ללמוד שהמתלוננת מסרה בביהמ""ש גירסה דומה ועקבית בדיוק כמו שמסרה באימרתה במשטרה. נ/1 אפילו מפורט יותר בנקודות מסויימות, בעיקר בנקודות הקשורות למעשה המיני, שככל הנראה למתלוננת היה קשה מאוד לחזור על פרטיו בביהמ""ש ובכך להחזיר עצמה אחורה מספר שנים לאותה סיטואציה משפילה, מבזה ופוגעת פיזית ונפשית. וכפי שציינתי שתי הגרסאות של המתלוננת תואמות, מצטלבות ומשתלבות כך שלביהמ""ש לא ברור מדוע בחר הנאשם להגיש את נ/1 כראייה מטעמו.ו הגם שלעדה היה קשה נפשית לשחזר את השתלשלות האירועים במיוחד של יום האירוע, וניכר שהאירוע משפיע עליה גם מספר שנים לאחר שהתרחש, היא עמדה בכך בצורה ראוייה הגם שהיתה נרגשת ולעיתים פרצה בבכי."," וכפי שציינתי שתי הגרסאות של המתלוננת תואמות, מצטלבות ומשתלבות כך שלביהמ""ש לא ברור מדוע בחר הנאשם להגיש את נ/1 כראייה מטעמו","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
102071,ME-12-10-49947-393,"ה מישור ה אובייקטיבי לאחר ש קבעתי כי עדות של הוא של ה מתלונן מהימנה , כי אני מאמין ל מתלון של הן ש פניו של ה נאשם נחרטו ב זיכרון של הוא ב מהלך ה אירוע ו הוא מזהה את ה נאשם ב אופן וודאי , אפנה לבחון את ה אפשרות ש ה מתלונן טעה טעות כנה ב זיהוי .","המישור האובייקטיבי לאחר שקבעתי כי עדותו של המתלונן מהימנה, כי אני מאמין למתלונן שפניו של הנאשם נחרטו בזיכרונו במהלך האירוע והוא מזהה את הנאשם באופן וודאי, אפנה לבחון את האפשרות שהמתלונן טעה טעות כנה בזיהוי.","המישור האובייקטיבי לאחר שקבעתי כי עדותו של המתלונן מהימנה, כי אני מאמין למתלונן שפניו של הנאשם נחרטו בזיכרונו במהלך האירוע והוא מזהה את הנאשם באופן וודאי, אפנה לבחון את האפשרות שהמתלונן טעה טעות כנה בזיהוי",לא רלוונטי
104664,ME-08-10-6212-89,"בניגוד ל גרסאה של הוא של ה נאשם , גרסה של היא של ה מתלוננת מבוססת ו איתנה .","4. בניגוד לגרסאותיו של הנאשם, גרסתה של המתלוננת מבוססת ואיתנה. והיא מתיישבת עם פלטי השיחות, אשר מלמדים על השעות בהן אירע האירוע. עפ""י ת/10, פלט השיחות של מספר 052-5538665- מס' הטלפון הנייד של הנאשם- בשעה 01:40 התקשר הנאשם לפלאפון של המתלוננת- 050-9349322 ושוחח עימה 184 שניות. ניתן לקבוע כי שיחה זו מתיישבת עם גרסת המתלוננת כי בדרך לצומת ביל""ו הנאשם יצא את הרכב, החל לצעוד ואז התקשר אליה וחזר לרכב. בנוסף, עפ""י פלט השיחות עולה כי בשעה 02:30 ובשעה 02:31 יש ניסיונות חיוג למספר 050-3377487. לפי ת/3 מדובר במספר הטלפון הנייד של המכונה ""זבל"", ועל כן ניתן לקבוע כי בשעה זו עוד ישבו המתלוננת והנאשם ב""גולדה"". יתרה מזאת, הנאשם עצמו העיד כי ככל הנראה ההתקשרות נעשתה מתוך ה""גולדה"" (עמ' 359, ש' 26-27 לפרוטוקול)."," בניגוד לגרסאותיו של הנאשם, גרסתה של המתלוננת מבוססת ואיתנה",אמינה בגלל שהנאשם לא אמין
104680,ME-08-10-6212-89,"די היה ל אני , ב נסיבות ה עניין , לקבוע כי גרסה של היא של ה מתלוננת מהימנה על אני ו גרסת ה נאשם אינה אמינה על אני ו להרשיע את ה נאשם , שכן עפ""י ל ניתן להרשיע ב עבירת מין על סמך עדות יחידה תוך קיום חובת ה הנמקה .","7. די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה. לעדות האמינה של המתלוננת במקרה דנן מצטרפות ראיות בעניין מצבה הנפשי והתנהגותה של המתלוננת בסמוך לאחר ביצוע המעשים. מן המפורסמות, שבטרם בוטלה דרישת הסיוע להוכחת ביצועה של עבירת האינוס, נפסק, כי מצבו הנפשי של קורבן עבירת מין יכול לשמש סיוע לקרות האירוע (י' קדמי, על הראיות, חלק ראשון, מהדורה משולבת ומעודכנת, התשס""ד-2003, עמ' 277-280 והאסמכתאות שם)."," די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה",אמינה בגלל שהנאשם לא אמין
106104,SH-11-11-41874-683,"שוכנעתי כי עדות של היא של ה מתלוננת עומדת איתנה , עצמאית , בלתי תלויה , ו נקייה מ שיקולים זרים , ו ממילא מ ה רגע ב הוא הגישה את ה תלונה ב ה משטרה , עבר ה טיפול לידי ה משטרה ו רשויות ה תביעה ו חזקה ש היה מקצועי ו חסר פניות .","שוכנעתי כי עדותה של המתלוננת עומדת איתנה, עצמאית, בלתי תלויה, ונקייה משיקולים זרים, וממילא מהרגע בו הגישה את התלונה במשטרה, עבר הטיפול לידי המשטרה ורשויות התביעה וחזקה שהיה מקצועי וחסר פניות. טענה זו דינה אפוא להידחות.","שוכנעתי כי עדותה של המתלוננת עומדת איתנה, עצמאית, בלתי תלויה, ונקייה משיקולים זרים, וממילא מהרגע בו הגישה את התלונה במשטרה, עבר הטיפול לידי המשטרה ורשויות התביעה וחזקה שהיה מקצועי וחסר פניות","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
118001,ME-12-07-17416-33,עדות של היא של ה מתלוננת ב יחס ל פגיעות ה מיניות ו ה אלימות של ה נאשם כלפי היא - אמינה ב עיניי .,"עדותה של המתלוננת ביחס לפגיעות המיניות והאלימות של הנאשם כלפיה - אמינה בעיניי. התרשמתי שהמתלוננת חוותה על בשרה את הפגיעות אותן תיארה וגדלה בצל החשש מפני הפגיעה הבאה. המתלוננת נאלצה להתמודד לבדה עם המציאות העגומה והמעוותת אותה חוותה בלא שזכתה לתמיכה ממשפחתה ואפילו לא מאימה או ממורתה י.מ.. הגם שאיני מתעלם מהבעיות העולות לכאורה מגרסתה, הרי סיפורה של המתלוננת שמגולל מערכת של התעללות מינית ופיזית במשך מספר שנים מצידו של הנאשם כלפיה, הוא סיפור הגיוני, אמין, נתמך בראיות ובעל חיזוקים משמעותיים ואף למעלה מכך:",עדותה של המתלוננת ביחס לפגיעות המיניות והאלימות של הנאשם כלפיה - אמינה בעיניי,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
118116,ME-12-07-17416-33,"לעומת זאת תיאור של היא של ה מתלוננת הגיוני , מפורט ו תואם את נסיבות ה אירוע .","למרות כל ניסיונות הנאשם והעדים מטעמו לצייר את המתלוננת כ""דמיונית"" וכמעלילה, לא מצאתי כל מניע או הסבר הגיוני לכך שהמתלוננת תמציא עלילה כה זדונית שבוצעו בה עבירות אלימות ועבירות מין רבות וחמורות על ידי אביה. ההסברים שהציע הנאשם כמניעים להפללתו מצידה של המתלוננת אינם הגיוניים, אינם סבירים ואינם נתמכים בראיות מהימנות. לעומת זאת תיאורה של המתלוננת הגיוני, מפורט ותואם את נסיבות האירוע."," לעומת זאת תיאורה של המתלוננת הגיוני, מפורט ותואם את נסיבות האירוע","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה"
121422,m01000232,"כמו כן , מצאתי כי גרסה של היא של ה מתלוננת ל ה עניין ה אירועים איננה הגיונית ו איננה סבירה .","התביעה מבססת את עיקר טיעוניה על עדותה של המתלוננת. אציין כבר עתה כי מצאתי סתירות מהותיות בעדותה. כמו כן, מצאתי כי גרסתה של המתלוננת לעניין האירועים איננה הגיונית ואיננה סבירה. יש לציין גם כי גרסתה של המתלוננת אינה מתיישבת בנקודות רבות עם גרסתה של עדת התביעה, חברתה של המתלוננת, אשר הייתה עמה בליל האירוע."," כמו כן, מצאתי כי גרסתה של המתלוננת לעניין האירועים איננה הגיונית ואיננה סבירה","לא אמינה כי לא עקבית, הציגה סתירות"
