sentence_id,title,origin_sentence,paragraph_text,query number,clean_sentence,dataset,label_0,score_0
53240,s03001809-358, עדותה של המתלוננת בבית המשפט היתה ארוכה ומפורטת והתייחסה לכל העובדות נשוא כתב האישום,9. עדותה של המתלוננת בבית המשפט היתה ארוכה ומפורטת והתייחסה לכל העובדות נשוא כתב האישום.,1, עדותה של המתלוננת בבית המשפט היתה ארוכה ומפורטת והתייחסה לכל העובדות נשוא כתב האישום,test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.95
57875,ME-11-06-2965-391,"לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים","לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים. בולט במיוחד ניסיונה של המתלוננת להסתיר את העובדה כי קיימה עם הנאשם יחסי מין מספר רב של פעמים לפני ליל האירוע ולהעמיד פנים כאילו שניסיונו של הנאשם לקיים עמה יחסים באותו לילה חרג מאופיים של היחסים אשר התקיימו ביניהם עד אז, והפתיע אותה לחלוטין. כמו כן מפנה ב""כ הנאשם לניסיונה של המתלוננת להסתיר את מעורבותו של בן זוגה שאהר בכל אשר חלף ביניהם לבין משפחת הנאשם לאחר אותו לילה, ולטענתו, התירוץ שהשמיעה המתלוננת בדיעבד, כאילו שעשתה כן על מנת לנסות להציל את שאהר מהסתבכות בחקירה משטרתית לאור מעמדו כשוהה בלתי חוקי, אינו משכנע, וניתן היה להתייחס אליו באופן סתמי ובלא להסגיר את מעמדו במסגרת תיאורי העובדות הרלבנטיות שבעדותה.",1,"לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים",test,"אמינה: לא נתפסת כנקמנית, אין חשש להאשמת שווא או העללה על הנאשם",0.43
57988,ME-11-06-2965-391,"גרסה שקרית זו של המתלוננת היא משמעותית ביותר, מאחר שהעבר המשותף שלה ושל הנאשם בוודאי מקרין לא רק על מידת המהימנות שיש ליחס למתלוננת באופן כללי, אלא אף על מידת המהימנות שיש ליחס לגרסתו של הנאשם שהשניים התחבקו והתנשקו וזרמו לקראת יחסים אינטימיים גם בליל האירוע נשוא כתב האישום","גרסה שקרית זו של המתלוננת היא משמעותית ביותר, מאחר שהעבר המשותף שלה ושל הנאשם בוודאי מקרין לא רק על מידת המהימנות שיש ליחס למתלוננת באופן כללי, אלא אף על מידת המהימנות שיש ליחס לגרסתו של הנאשם שהשניים התחבקו והתנשקו וזרמו לקראת יחסים אינטימיים גם בליל האירוע נשוא כתב האישום. אם אכן קיימו יחסים מיניים ביניהם גם בעבר, יותר סביר לקבל את הגרסה שהייתה פתיחות מצד המתלוננת גם באותו לילה לקיום יחסים עמו.",1,"גרסה שקרית זו של המתלוננת היא משמעותית ביותר, מאחר שהעבר המשותף שלה ושל הנאשם בוודאי מקרין לא רק על מידת המהימנות שיש ליחס למתלוננת באופן כללי, אלא אף על מידת המהימנות שיש ליחס לגרסתו של הנאשם שהשניים התחבקו והתנשקו וזרמו לקראת יחסים אינטימיים גם בליל האירוע נשוא כתב האישום",test,אמינה בגלל שהנאשם לא אמין,0.39
58037,ME-11-06-2965-391," כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה","לכל האמור יש להוסיף, כי לאור מסקנתי דלעיל שיש ליחס לגרסתה של המתלוננת את המהימנות המתבקשת, הרי שיש לקבל גם את גרסתה באשר לעבירות הנוספות המיוחסות לנאשם, קרי – חטיפה והדחה בחקירה. כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה. כמו כן, בניסיונותיו ""לשחד"" את המתלוננת ואת אחותה שלא להגיש תלונה במשטרה בתמורה לתשלום כלשהו, ביצע הנאשם גם את העבירה של הדחה בחקירה המיוחסת לו בכתב האישום.",1," כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה",test,"אמינה: לא נתפסת כנקמנית, אין חשש להאשמת שווא או העללה על הנאשם",0.66
59270,SH-09-2064-831,עדותה של המתלוננת נטיה ללצאשווילי הייתה אמינה מאד,"עדותה של המתלוננת נטיה ללצאשווילי הייתה אמינה מאד. היא נזהרה מליתן פרשנות וודאית למעשי הנאשם, לא התלהמה ולא הגזימה בתאוריה. היא  ציינה ביוזמתה כי מודעת לצורך להיזהר מלהפליל אחר, והסבירה כי לכן התלבטה מספר דקות בין 2 תמונות דומות במסדר הזהוי. היא תיארה החשוד כבר בתלונה הראשונה ובטרם נעצר (בהודעה נ/3) כבעל עיניים גדולות, ממוצא אתיופי או סודני, הדובר אנגלית. בעדות בבית משפט, שבה והסבירה כי מדובר בחשוד בעל עיניים ייחודיות אותן זכרה. היא ציינה  כי הייתה מעדיפה לזהותו חי ולא בתמונות שכן מודעת לכך שתמונות אינן משקפות באופן מלא המצולם. בחקירה הנגדית ציינה בהגינותה  כי הזיהוי בתמונות היה 99 אחוז וכי הפכה ודאית רק לאחר שעומתה עימו. היא הסבירה כי למרות הארוע הטראומטי זכרה היטב את פני התוקף.",1,עדותה של המתלוננת נטיה ללצאשווילי הייתה אמינה מאד,test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.96
62184,ME-09-1063-277," עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים","ב. עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים. אותם קשיים מחייבים לנהוג זהירות בבחינת משקל עדותה.",1," עדותה של המתלוננת כפי שנמסרה בפנינו מפיה על דוכן העדים וכלל התנהלותה במהלך החקירה ולקראת העדות בבית המשפט, לא הייתה נקייה מקשיים",test,"אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת)-יש פגמים אבל ההכרעה היא לטובת המתלוננ.ת",0.66
72575,SH-09-01-10212-129," לטענת ב""כ הנאשם עדותה של המתלוננת הייתה רצופה בסתירות","בסיכומיו להכרעת הדין ביקש הסניגור לזכות את הנאשם מהעבירות נשוא כתב האישום, וזאת לאור הטענה, שלשיטתו, לא עלה בידי המאשימה לעמוד בנטל השכנוע, שהנאשם ביצע את העבירות המיוחסות לו בכתב האישום. לטענת ב""כ הנאשם, המאשימה ייחסה לנאשם עבירות של מעשים מגונים על סמך עדות המתלוננת אשר בחרה להערים ולהטיח האשמות בעלמא כלפי הנאשם. עוד הוסיף ב""כ הנאשם, כי ע""פ  ל, כדי להרשיע על פי עדות יחידה של נפגעת העבירה, על בית המשפט לפרט בהכרעת דינו מה הניע אותו להסתפק בעדות. לטענת ב""כ הנאשם עדותה של המתלוננת הייתה רצופה בסתירות. במסגרת סיכומיו, הפנה ב""כ הנאשם את בית המשפט למספר סתירות בין עדותה של המתלוננת בבית המשפט לבין דברים שמסרה בהודעותיה במשטרה ובעימות שנערך בינה לבין הנאשם. אשר לעדויותיהם של אביה ואמה של המתלוננת, טען ב""כ הנאשם, כי מדובר בעדויות מפי השמועה.",1," לטענת ב""כ הנאשם עדותה של המתלוננת הייתה רצופה בסתירות",test,"לא אמינה: לא עקבית, הציגה סתירות",0.74
73396,m03001200, שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך,"הצבת עדותו של הנאשם אל מול עדותה של המתלוננת, מעניקה יתרון בולט לזו האחרונה. שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך.",1, שהרי עדותה של המתלוננת עקבית היא לאורך כל הדרך,test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.97
75008,ME-16-02-2193-22,"מהימנות עדות המתלוננת עדותה של המתלוננת קוהרנטית, אותנטית, עקבית ומעוררת אמון והיא גם עשתה מאמץ להיצמד לאמת ולהימנע מהגזמה","מהימנות עדות המתלוננת עדותה של המתלוננת קוהרנטית, אותנטית, עקבית ומעוררת אמון והיא גם עשתה מאמץ להיצמד לאמת ולהימנע מהגזמה. המתלוננת לא ניסתה להעצים את האירוע. אני נותן אמון מלא בעדות המתלוננת. המתלוננת נחקרה ארוכות בנוגע לפרטי האירוע וניכר היה כי המתלוננת מעידה מדם ליבה: המתלוננת היתה עקבית בתיאורה את האירוע, היא לא ניסתה להעצים את פרטי האירוע והשתדלה לדייק בתיאור מעשיו של הנאשם – המתלוננת חזרה מספר פעמים על כך שהאירוע נמשך לכל היותר כ- 40 שניות. המתלוננת ציינה ""עמדתי פשוט לא רחוק ממנו... הוא הושיט לי את שתי הידיים והושיב אותי על הברכיים... אני עם הגב אליו, כשאני כמובן עם בגדים, הוא נוגע לי מעל הבגדים בחזה, מסובב לי את הראש ומנשק אותי, או מנסה לפחות"". כשנשאלה מה זה אומר ""מנסה"" לנשק, השיבה ""שהרגשתי... את הלשון שלו.. על השפתיים שלי"". ברגע זה, לדבריה, היא התעשתה, שחררה את אחיזתו על ידי המרפק, הרביצה לו מכעס וברחה. ב""כ הנאשם הטיח במתלוננת את האפשרות שתיאמה עם בת דודתה את הגשת התלונה לאחר שגם בת דודתה הגישה תלונה נגד הנאשם, המתלוננת השיבה, שהמעשים המיוחסים לנאשם בתיק הנוגע לבת דודתה מספיק חמורים על מנת שהוא יקבל את עונשו ולכאורה לא היתה סיבה שתתאם איתה את הגשת התלונה ""שאני אוסיף את השלושים שניות האלה. כי אצלי זה היה שלושים שניות, שם זה היה כמה שנים"". ניכר, כי המתלוננת אינה מנסה להעצים את פרטי האירוע, דבקה בעובדות כפי שהתרחשו ואף מודעת לפער הקיים בין חומרת האירוע שהיא חוותה ובין חומרת האירועים האחרים שיוחסו לנאשם בתיק אחר.",1,"מהימנות עדות המתלוננת עדותה של המתלוננת קוהרנטית, אותנטית, עקבית ומעוררת אמון והיא גם עשתה מאמץ להיצמד לאמת ולהימנע מהגזמה",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.91
77018,m03001164,"את מסקנתה כי גירסתה של המתלוננת מהימנה היא וכי חוותה על גופה את אשר תיארה בפניה, ביססה חוקרת-הילדים, כך העידה, על ה""פאזל"" שנבנה על-יסוד ניתוח חקירתה של המתלוננת, לאחר עיון נוסף בתִּמְלוּל וּצפייה בקלטת החקירה","את מסקנתה כי גירסתה של המתלוננת מהימנה היא וכי חוותה על גופה את אשר תיארה בפניה, ביססה חוקרת-הילדים, כך העידה, על ה""פאזל"" שנבנה על-יסוד ניתוח חקירתה של המתלוננת, לאחר עיון נוסף בתִּמְלוּל וּצפייה בקלטת החקירה.",1,"את מסקנתה כי גירסתה של המתלוננת מהימנה היא וכי חוותה על גופה את אשר תיארה בפניה, ביססה חוקרת-הילדים, כך העידה, על ה""פאזל"" שנבנה על-יסוד ניתוח חקירתה של המתלוננת, לאחר עיון נוסף בתִּמְלוּל וּצפייה בקלטת החקירה",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.92
80244,m02001201-a," עדותה של המתלוננת מרכזית וחשובה לבירור אשמתו של הנאשם, אלא שהיא אזרחית פיליפינית, השוהה בישראל באופן שאינו חוקי","המדינה נימקה בקשתה (אשר סומנה כב""ש 92741/02), בכך שבין יתר העבירות המנויות בכתב האישום, מואשם אשר רוזוליו (להלן, הנאשם) בעבירות אונס ושוד. עדותה של המתלוננת מרכזית וחשובה לבירור אשמתו של הנאשם, אלא שהיא אזרחית פיליפינית, השוהה בישראל באופן שאינו חוקי. בבקשה נטען, כי יש חשש שהמתלוננת עלולה לעזוב את הארץ, או שעשוי להתעורר קושי באיתורה בהמשך, ובשל כך נדרש קיום הליך גביית העדות המוקדמת. הסניגור המלומד הגיש תגובה מנומקת ומפורטת, בה הביע התנגדותו לגביית העדות המוקדמת.",1," עדותה של המתלוננת מרכזית וחשובה לבירור אשמתו של הנאשם, אלא שהיא אזרחית פיליפינית, השוהה בישראל באופן שאינו חוקי",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.65
81797,m02001201-a,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום","ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום. הסבר זה אינו סביר בהתחשב בעובדה שהמתלוננת תיארה יחסי חברות בינה לבין שותפתה, והן בהתחשב בעובדה שסיפרה לה אודות האינוס מיד עם חזרתה מתחנת המשטרה. כשנשאלה על כך בעדותה החוזרת, השיבה: ""בהתחלה התביישתי אבל החלטתי שאני אספר לה, לשותפה שלי, אחרי שחזרתי מתחנת המשטרה"" (עמ' 197, שורה 19 לפרוטוקול).",1,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום",test,"לא אמינה: נתפסת כנקמנית, חשש להעללה או האשמת שווא",0.55
93163,ME-12-06-24991-111," עדותה של המתלוננת אמינה בעיניי,  חיזוק לכך אני מוצא בתלונתה המיידית, הנאשם ביצע את זממו במתלוננת ביום שישי בלילה (1","ד. דיון אקדים ואבהיר כי שוכנעתי מעבר לכל ספק סביר כי הנאשם ביצע את המיוחס לו  בכתב האישום. עדותה של המתלוננת אמינה בעיניי,  חיזוק לכך אני מוצא בתלונתה המיידית, הנאשם ביצע את זממו במתלוננת ביום שישי בלילה (1.6.2012) וכלא אותה בביתם עד לאחר שאמר את הקידוש ביום שבת בבוקר (2.6.2012). מיד שיצאה המתלוננת מהבית, היא התקשרה למוקד 100 של המשטרה, חיכתה לשוטרים בכניסה לבית ובשיחה עימם בשעה 9:52 כבר סיפרה על האונס וכליאת השווא, התמונה המלאה לרבות באשר לאונס הראשון נמסרה בהודעתה הראשונה כחצי שעה לאחר מכן בתחנת המשטרה (נ/3).",1," עדותה של המתלוננת אמינה בעיניי,  חיזוק לכך אני מוצא בתלונתה המיידית, הנאשם ביצע את זממו במתלוננת ביום שישי בלילה (1",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.85
96631,s00006418-192,"מצאתי כי עדותה של המתלוננת (העדות העיקרית) הינה  ""חלשה"" ביותר, ולא מצאתי בחומר הראיות כל הנמקה ""ממשית"" שתתמוך בדבריה ומכאן שאני מזכה את הנאשם מעבירת המעשה המגונה מחמת הספק","מצאתי כי עדותה של המתלוננת (העדות העיקרית) הינה  ""חלשה"" ביותר, ולא מצאתי בחומר הראיות כל הנמקה ""ממשית"" שתתמוך בדבריה ומכאן שאני מזכה את הנאשם מעבירת המעשה המגונה מחמת הספק.",1,"מצאתי כי עדותה של המתלוננת  הינה  ""חלשה"" ביותר, ולא מצאתי בחומר הראיות כל הנמקה ""ממשית"" שתתמוך בדבריה ומכאן שאני מזכה את הנאשם מעבירת המעשה המגונה מחמת הספק",test,אמינה בגלל שהנאשם לא אמין,0.3
97105,ME-14-02-9030-33,"המאשימה טוענת כי עדותה של המתלוננת הייתה עקבית, כנה ומשכנעת, וניכרים בה סימני האמת","המאשימה טוענת כי עדותה של המתלוננת הייתה עקבית, כנה ומשכנעת, וניכרים בה סימני האמת. המתלוננת לא ניסתה בשום שלב לייפות את המציאות. היא הביאה את עצמה, על כל מורכבויותיה, לבית המשפט – באופן כן ואף בוטה. כעסה הרב של המתלוננת על הנאשם היה ניכר בעדותה. מדובר בקטינה בת 17, תיירת מארה""ב, אשר גדלה בבית חרדי אולם מגדירה עצמה כ""ילדת רחוב"", ואשר כנראה עברה תקופת התבגרות לא פשוטה, והיא עדיין לא יודעת להיזהר מפני הסכנות האורבות לה.",1,"המאשימה טוענת כי עדותה של המתלוננת הייתה עקבית, כנה ומשכנעת, וניכרים בה סימני האמת",test,"אמינה: בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",0.94
