sentence_id,origin_sentence,category,new_category,model_reasoning
87394," ראשית, תמוה בעיני, מדוע היה על המתלוננת, עת מבוצעים בה לכאורה מעשים מיניים בניגוד להסכמתה, וכשהיא עושה כל שלאל ידה בכדי להפסיקם, לציין בפני מבצע המעשים כי היא ""חרמנית""?! שנית, גרסה זו של המתלוננת אינה אחידה","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"השופט מביע תמיהה על גרסת המתלוננת ומציין במפורש כי גרסתה אינה אחידה, דבר המצביע על חוסר עקביות."
87978,"הגנת הנאשם וטענותיו הצריכות להכרעה בהליך הנוכחי, לנוכח הראיות שהובאו ע""י המאשימה, מתמקדות בכך, שמחד גיסא אין עדותה של הקטינה, כפי שניתנה בפני חוקרת ילדים, מהימנה כלל ועיקר, ומאידך גיסא - גם אין בנמצא כל ראיית סיוע לעדותה זו, דבר שהיעדרו, לפי החוק, חייב להוביל לזיכוי הנאשם","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מתאר את טענות ההגנה של הנאשם ואינו מבטא את הערכת השופט עצמו לגבי מהימנות עדות המתלוננת.
88492, עדותה הגרעינית של הילדה עקבית ומדוייקת בהזדמנויות שבהן ניתן לה לפרטה,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים,המשפט מעריך באופן חיובי את עקביותה ודיוקה של עדות הילדה (הקטינה).
71138,"  לאחר שמיעת העדויות ולאור מכלול הראיות, הגעתי לכלל מסקנה כי עדותה של המתלוננת מהימנה ואני מעדיפה אותה על פני עדותו של הנאשם",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מבטא באופן ישיר את העדפת עדותה המהימנה של המתלוננת על פני גרסתו של הנאשם.
104664," בניגוד לגרסאותיו של הנאשם, גרסתה של המתלוננת מבוססת ואיתנה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מעדיף את גרסתה היציבה והמבוססת של המתלוננת על פני גרסאותיו של הנאשם.
106104,"שוכנעתי כי עדותה של המתלוננת עומדת איתנה, עצמאית, בלתי תלויה, ונקייה משיקולים זרים, וממילא מהרגע בו הגישה את התלונה במשטרה, עבר הטיפול לידי המשטרה ורשויות התביעה וחזקה שהיה מקצועי וחסר פניות","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה","המשפט מביע אמון מלא בעדותה של המתלוננת ומגדיר אותה כאיתנה ונקייה משיקולים זרים, דבר המעיד על מהימנותה הגבוהה."
102071,"המישור האובייקטיבי לאחר שקבעתי כי עדותו של המתלונן מהימנה, כי אני מאמין למתלונן שפניו של הנאשם נחרטו בזיכרונו במהלך האירוע והוא מזהה את הנאשם באופן וודאי, אפנה לבחון את האפשרות שהמתלונן טעה טעות כנה בזיהוי",לא רלוונטי,"קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",השופט קובע באופן חד-משמעי כי עדותו של המתלונן מהימנה עליו וכי הוא מאמין לו לחלוטין.
121422," כמו כן, מצאתי כי גרסתה של המתלוננת לעניין האירועים איננה הגיונית ואיננה סבירה","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מביע דחייה של גרסת המתלוננת בשל היותה בלתי הגיונית ובלתי סבירה, דבר המצביע על חוסר מהימנותה."
118001,עדותה של המתלוננת ביחס לפגיעות המיניות והאלימות של הנאשם כלפיה - אמינה בעיניי,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",המשפט מבטא קבלה ישירה של עדות המתלוננת כעדות אמינה ומהימנה על ידי בית המשפט.
118116," לעומת זאת תיאורה של המתלוננת הגיוני, מפורט ותואם את נסיבות האירוע","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים","המשפט מדגיש את התיאור המפורט, ההגיוני והתואם של המתלוננת לגבי נסיבות האירוע."
104680," די היה לי, בנסיבות העניין, לקבוע כי גרסתה של המתלוננת מהימנה עלי וגרסת הנאשם אינה אמינה עלי ולהרשיע את הנאשם, שכן עפ""י  ל ניתן להרשיע בעבירת מין על סמך עדות יחידה תוך קיום חובת ההנמקה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מציג את העדפת גרסתה המהימנה של המתלוננת על פני גרסתו הבלתי אמינה של הנאשם כבסיס להרשעה.
121550, גרסה זו של המתלוננת איננה סבירה ואינה מהימנה,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט קובע באופן ישיר כי גרסתה של המתלוננת אינה מהימנה ואינה סבירה, ולכן הוא מסווג לקטגוריה העוסקת בדחיית עדותה."
133749,"לטענת ב""כ הנאשם, כתב האישום שהוגש נגד מרשו מבוסס רובו ככולו על עדותה של המתלוננת עצמה, וכפי שכבר עולה מתיאור עדותה לעיל, עדות זו של המתלוננת חלשה במיוחד, רצופה שקרים, ואינה ראויה למשקל הדרוש כדי להרשיע אדם בפלילים","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג את טענת בא-כוח הנאשם לגבי עדות המתלוננת ולא את קביעת השופט עצמו.
122547," גם עדותה של המתלוננת ת', הנוגעת אמנם בעיקרה לאירוע הראשון בו הודה הנאשם בשלב הסיכומים, הנה רלוונטית בסופו של דבר גם למחלוקת שנותרה",לא רלוונטי,לא רלוונטי,המשפט דן ברלוונטיות של עדות המתלוננת למחלוקת שנותרה ואינו מבטא הערכה של בית המשפט לגבי מהימנותה או אמינותה.
90842," וכפי שציינתי שתי הגרסאות של המתלוננת תואמות, מצטלבות ומשתלבות כך שלביהמ""ש לא ברור מדוע בחר הנאשם להגיש את נ/1 כראייה מטעמו","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","כראייה מטעמו"" - this is a rejection of the defendant's line of defense/evidence.",
137690, נטען כי העדויות של המתלוננת ואימה לוקות בסתירות מהותיות ואינן הגיוניות,עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט,לא רלוונטי,המשפט מציג טענה של אחד הצדדים ולא את קביעתו או הערכתו של השופט עצמו לגבי מהימנות עדותה של המתלוננת.
151403, אף עדותה של המתלוננת בדבר התנסותה בעבר במין אנאלי אינה עקבית,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מצביע על חוסר עקביות בעדותה של המתלוננת, ולכן מתאים לקטגוריה העוסקת בחוסר עקביות וסתירות בגרסתה."
150296,  עדותה של המתלוננת לגבי  נאשם 2 איננה עקבית,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט קובע כי עדותה של המתלוננת אינה עקבית, דבר המהווה עילה לדחיית גרסתה בשל חוסר עקביות וסתירות."
155757,"זאת ועוד, הנאשם הוסיף כי כל הגרסה של המתלונן וחברו שקרית: ""איך את יכולה להוכיח שהחבר שלו לא משקר גם, כי הם היו הרי חברים",לא רלוונטי,לא רלוונטי,"המשפט מתאר את טענותיו של הנאשם לגבי שקריות גרסת המתלונן וחברו, ואינו מבטא את הערכת השופט עצמו לגבי מהימנות העדות."
133911," כאמור לעיל, מקובלת עלי גרסתה של המתלוננת כי לא הסכימה כלל לנסוע עם הנאשם ולעזוב את אולם גוטניק ללא אחותה וללא מוראד, וכי הנאשם נעל עליה את דלתות הרכב, ואף מנע ממנה מלשוחח עם אלה שהתקשרו אליה, כשברצונה להודיע איפה נמצאת ומה מצבה",לא רלוונטי,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם,המשפט מבטא קביעת ממצאים עובדתיים מפלילים לגבי השתלשלות האירועים על ידי אימוץ גרסתה של המתלוננת.
150617,"אני מצרף דעתי לדעתה של כב' השופטת רג'יניאנו לפיה עדותה של המתלוננת מהימנה, ועדותו של הנאשם 1 איננה מהימנה מהנימוקים שפרטה בחוות דעתה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מביע הסכמה לקביעה לפיה עדות המתלוננת היא מהימנה ואילו עדותו של הנאשם אינה מהימנה.
158041," מנגד, עדותה של המתלוננת מהימנה ביותר, ויש לבסס עליה את הכרעת-הדין","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה","המשפט קובע כי עדות המתלוננת מהימנה ביותר וכי יש לבסס עליה את הכרעת הדין, מה שמעיד על קבלת עדותה בשל מהימנותה הגבוהה."
199211," ב""כ הנאשם טען כי גרסתה של המתלוננת אינה מהימנה, נוכח העובדה שבעדותו של דרור בדבר התיאור שמסרה לו המתלוננת, אין תיאור של האקט המיני עצמו, וכן שעדותו של דרור אינה תואמת את הגרסה שמסרה בבית המשפט","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג את טענת בא-כוח הנאשם לגבי מהימנות המתלוננת ולא את קביעת או הערכת בית המשפט עצמו.
181922,"ב נראה כי גירסתה של המתלוננת מקבלת חיזוק ברור ומודגש מדברי הנאשם בעצמו: הוא אמנם מנסה למזער את עצמת התקיפה (צביטה, מכה), אך ברור כי האמת היא עם המתלוננת אשר גרסתה כאמור עקבית,  אשר יציאתה מהבית עוכבה והיא זכתה לחוש את נחת זרועו של הנאשם",אמינה בגלל שהנאשם לא אמין,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם,המשפט קובע ממצאים עובדתיים מרשיעים תוך אימוץ גרסת המתלוננת ודחיית גרסת הנאשם המנסה למזער את מעשיו.
182319,"מאשר כי עדותה של המתלוננת איננה חד משמעית (עמ' 28 ש' 12), הודעות הנאשם היו מפורשות (ש' 22) ובסוף החקירה - שוחרר (ש' 27) על פי החלטת ק",לא רלוונטי,לא רלוונטי,"המשפט מתאר עדות או חקירה של עד המאשר פרטים לגבי עדות המתלוננת ושחרור הנאשם, ואינו מהווה קביעה ישירה של בית המשפט לגבי מהימנותה."
212839,"ב""כ הנאשם טען כי עדותה של המתלוננת ""רווית סתירות"", ובהיותה עדות יחידה  נדרשת הנמקה ממשית לצורך אימוצה","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג את טענת בא-כוח הנאשם ולא את קביעת או הערכת השופט עצמו לגבי מהימנות המתלוננת.
240281,"עדותה של המתלוננת מפורטת, עקבית וברורה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים","המשפט מתאר את עדות המתלוננת כמפורטת וברורה, דבר המתאים לקבלת העדות בשל תיאור מפורט וברור של מסכת האירועים."
226360," כאמור, עדותה של המתלוננת מקובלת ומהימנת עלי, ונותנת ביטוי אמת למה שארע","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",המשפט מבטא קבלה מלאה של עדות המתלוננת כמהימנת וכעדות אמת ללא אזכור של ראיות נוספות או השוואה לגרסת הנאשם.
212918,"עדותה של המתלוננת, באשר להשתלשלות האירועים בבית, נאמנה אף היא למציאות, ויש להעדיפה על פני תיאורו הבלתי סביר של הנאשם, לגבי שיתוף פעולה מיני, בהסכמה מלאה ו""זרימה"" הרמונית, כביכול, מצידה של המתלוננת",אמינה בגלל שהנאשם לא אמין,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם,המשפט קובע ממצאים עובדתיים על ידי העדפת גרסתה המציאותית של המתלוננת ודחיית גרסתו הבלתי סבירה של הנאשם.
208261," א) בעוד שגירסתה של המתלוננת, בדבר מעשיו של הנאשם – כפי שמופיעים בכתב האישום – ברורים וחד משמעיים, הרי שגירסתו של הנאשם בדבר החיבוק משנה צורות או ""פוזות"" בהתייחסו לעובדה פשוטה מה באמת עשה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו,המשפט מעמת בין גרסתה הברורה והחד-משמעית של המתלוננת לבין גרסתו המשתנה והבלתי עקבית של הנאשם.
240408,"עדותה של המתלוננת בחקירתה הנגדית ארוכה ומפורטת מאוד, והיא עמדה בה בצורה ראויה ומכובדת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים",המשפט משבח את עדותה של המתלוננת ככזו שהייתה מפורטת מאוד ומציין לחיוב את האופן שבו עמדה בחקירה הנגדית.
276822,"גירסתה של המתלוננת, אותה כאמור העלתה לראשונה כעבור כ-5 שנים מעת קרות הארועים המפורטים לגבי התקופה הראשונה, אינה ברורה ואינה עיקבית","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מצביע על כך שגרסת המתלוננת אינה ברורה ואינה עקבית, דבר המוביל לדחיית מהימנותה."
188984,"מן הכלל אל הפרט גרסתה של המתלוננת אינה נטולת תמיהות (כפי שפורט כנ""ל) – ועל כן, לא שוכנעתי בדבר מהימנותה עד כדי מתן משקל לה שיהא בו די לבסס הרשעה בפלילים","עדות עם בעיות (למשל מעוררת תמיהות וספקות, או עדות יחידה לא מספקת) – יש פגמים ולכן ההכרעה היא כנגד הנפגעת",דחיית הרשעה על בסיס עדות יחידה של המתלוננת בהעדר ראיות סיוע,המשפט עוסק באי-יכולת לבסס הרשעה פלילית על בסיס עדותה של המתלוננת בלבד בשל תמיהות בגרסתה ואי-ביטחון במהימנותה.
252015," כפי שציינתי, גרסתה של המתלוננת מעלה ספקות באשר לאמינותה, הגרסה מתפתחת, אינה קוהרנטית ואחידה ועקב ריבוי אי הדיוקים וגם שקרים שנאמרים ללא היסוס, מעוררת הגרסה חוסר אמון","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מביע חוסר אמון מובהק בגרסת המתלוננת ומצביע על חוסר עקביות, אי-דיוקים ושקרים בגרסתה."
246428," יובהר ויודגש כי עדותה של המתלוננת אמינה ומקובלת עליי לחלוטין גם בנקודה אחרונה זו של ניסיון הנאשם לפתוח את חולצתה, ולהכניס ידו פנימה, חניקתה, עד כי התקשתה לנשום, ואמירתו ""אני יכול להרוג אותך ואני יכול עכשיו לשכב איתך""","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה","השופט מביע אמון מלא בעדותה של המתלוננת ומקבל אותה כמהימנה לחלוטין, גם לגבי הפרטים הספציפיים של התקיפה."
276829,גם באשר למקום בו אירע האירוע המפורט בפרט האישום הראשון גירסתה של המתלוננת אינה ברורה,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מצביע על חוסר בהירות בגרסתה של המתלוננת לגבי פרט מהותי כמו מקום האירוע, דבר המעיד על חולשת גרסתה וחוסר עקביותה."
277120,עדותה של המתלוננת לעניין פרט אישום זה אינה אמינה בעיני,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,המשפט מבטא באופן ישיר את אי-אמונו של בית המשפט בעדותה של המתלוננת ודחיית גרסתה.
240529,"עדותה של המתלוננת מהימנה, וגרסתה אינה משתנה לאורך כל הדרך; הן בעימות שנערך מול הנאשם ת/9 והן בחקירות הראשית והנגדית בבית המשפט","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה","המשפט קובע כי עדות המתלוננת מהימנה ועקבית לאורך כל שלבי ההליך, דבר המעיד על מהימנותה הגבוהה."
277127, גירסה זו של המתלוננת הן לענין זה והן לעניין הביקור בביתה אינה נטולת תמיהות והיא אינה מהימנה עליי,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,השופט דוחה את גרסת המתלוננת וקובע כי היא אינה מהימנה ומעוררת תמיהות.
277275,עדותה של המתלוננת לעניין פרט זה אינה מהימנה בעיני,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מבטא את קביעת השופט כי עדותה של המתלוננת לגבי פרט מסוים אינה אמינה, ולכן הוא מסווג לקטגוריה העוסקת בדחיית עדותה."
275503," לפיכך אני סבורה כי העדות של המתלוננת בפני שרירה וקיימת ומשקלה הראייתי נתון לשיקול דעתו של ביהמ""ש",לא רלוונטי,קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים,המשפט מבטא את הערכת חוקרת הילדים לגבי תקפותה ומהימנותה של עדות הקטינה שנמסרה בפניה.
283877,הלכה פסוקה היא כי אם עדותה של מתלוננת בעבירות מין אינה מושלמת – אין פירושו של דבר שהיא אינה שלמה,"עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,"המשפט מציג הלכה פסוקה ודיון משפטי תאורטי כללי לגבי הערכת עדות, ואינו מבטא את הערכת השופט למהימנות המתלוננת הספציפית במקרה הנדון."
280313,"גם תיאורה של הקטינה את אשר עשו לה הסינים האחרים, משולל היגיון פנימי או סבירות (שניהם ביחד הכניסו לה יד מתחת לחולצה), עד כדי כך, שחוקרת הילדים מתעכבת שוב ושוב על נקודה זו, עד שלא ניתן יותר להמשיך ולקבל תשובה הגיונית","לא אמינה כי לא עקבית, הציגה סתירות",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים,המשפט עוסק בניתוח עדותה של הקטינה ובחוסר ההיגיון שעלה ממנה במהלך חקירתה על ידי חוקרת הילדים.
301722," באופן כללי, מצאתי את עדויותיהן של כל המתלוננות אמינות",לא רלוונטי,"קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה",המשפט מבטא קבלה והערכה חיובית של עדויות המתלוננות כמהימנות ואמינות על ידי בית המשפט.
325460,"(ב) הגירסה של המתלוננת קוהרנטית, הגיונית, עקבית ומשתלבת היטב עם עדויות וראיות למכביר","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים,"המשפט מתאר את גרסת המתלוננת כעקבית וקוהרנטית, ומציין כי היא נתמכת בראיות ובעדויות רבות נוספות."
311403," אכן, תיאורה של המתלוננת איננו מושלם","אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת) – יש פגמים אבל ההכרעה היא לטובת הנפגעת",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,"המשפט מצביע על פגמים וחוסר שלמות בתיאור שמסרה המתלוננת, דבר המתקשר לקטגוריה העוסקת בחוסר עקביות או פגמים בגרסתה."
364023,"הגרסה המאוחרת של המתלונן, לפיה סיפר ל- נ' על המעשים עוד בבית המעצר, והשביע אותו שלא לגלות ועתה, לאחר שנזכר בכך שיחרר את נ' משבועתו, אינה אמינה, הן לאחר כבישתה והן לאור הכחשתה על ידי נ', ואי תמיכתה על ידי י' שהיה נוכח בכל עת ש- נ' היה עם המתלונן","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה,המשפט פוסל את אמינות גרסתו המאוחרת של המתלונן בשל היותה כבושה ובשל סתירות וחוסר תמיכה מצד עדים אחרים.
399239,"ב""כ הנאשם טוענים כי עדותה של המתלוננת אינה מהימנה בין היתר מאחר ונתגלו בה סתירות ואי דיוקים לרוב ודבריה באמרותיה במשטרה סותרים את דבריה בעדותה בביהמ""ש","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי,המשפט מציג את טענותיהם של באי-כוח הנאשם לגבי מהימנות המתלוננת ולא את קביעת בית המשפט עצמו.
381600," לדבריה, ניתן לראות כי עדותה של המתלוננת חסרת היגיון לכל אורכה, קרי: הגרסאות השונות אותן מסרה בת/2, בנ/5 ו-בנ/7","לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי,המשפט מציג את טענות ההגנה לגבי חוסר ההיגיון בעדות המתלוננת ולא את קביעת השופט עצמו.
