sentence_id,origin_sentence,category,new_category
150617,"אני מצרף דעתי לדעתה של כב' השופטת רג'יניאנו לפיה עדותה של המתלוננת מהימנה, ועדותו של הנאשם 1 איננה מהימנה מהנימוקים שפרטה בחוות דעתה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
155757,"זאת ועוד, הנאשם הוסיף כי כל הגרסה של המתלונן וחברו שקרית: ""איך את יכולה להוכיח שהחבר שלו לא משקר גם, כי הם היו הרי חברים",לא רלוונטי,לא רלוונטי
181922,"ב נראה כי גירסתה של המתלוננת מקבלת חיזוק ברור ומודגש מדברי הנאשם בעצמו: הוא אמנם מנסה למזער את עצמת התקיפה (צביטה, מכה), אך ברור כי האמת היא עם המתלוננת אשר גרסתה כאמור עקבית,  אשר יציאתה מהבית עוכבה והיא זכתה לחוש את נחת זרועו של הנאשם",אמינה בגלל שהנאשם לא אמין,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם
182319,"מאשר כי עדותה של המתלוננת איננה חד משמעית (עמ' 28 ש' 12), הודעות הנאשם היו מפורשות (ש' 22) ובסוף החקירה - שוחרר (ש' 27) על פי החלטת ק",לא רלוונטי,לא רלוונטי
199211," ב""כ הנאשם טען כי גרסתה של המתלוננת אינה מהימנה, נוכח העובדה שבעדותו של דרור בדבר התיאור שמסרה לו המתלוננת, אין תיאור של האקט המיני עצמו, וכן שעדותו של דרור אינה תואמת את הגרסה שמסרה בבית המשפט","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
158041," מנגד, עדותה של המתלוננת מהימנה ביותר, ויש לבסס עליה את הכרעת-הדין","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
188984,"מן הכלל אל הפרט גרסתה של המתלוננת אינה נטולת תמיהות (כפי שפורט כנ""ל) – ועל כן, לא שוכנעתי בדבר מהימנותה עד כדי מתן משקל לה שיהא בו די לבסס הרשעה בפלילים","עדות עם בעיות (למשל מעוררת תמיהות וספקות, או עדות יחידה לא מספקת) – יש פגמים ולכן ההכרעה היא כנגד הנפגעת",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
212918,"עדותה של המתלוננת, באשר להשתלשלות האירועים בבית, נאמנה אף היא למציאות, ויש להעדיפה על פני תיאורו הבלתי סביר של הנאשם, לגבי שיתוף פעולה מיני, בהסכמה מלאה ו""זרימה"" הרמונית, כביכול, מצידה של המתלוננת",אמינה בגלל שהנאשם לא אמין,קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם
212839,"ב""כ הנאשם טען כי עדותה של המתלוננת ""רווית סתירות"", ובהיותה עדות יחידה  נדרשת הנמקה ממשית לצורך אימוצה","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
226360," כאמור, עדותה של המתלוננת מקובלת ומהימנת עלי, ונותנת ביטוי אמת למה שארע","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
208261," א) בעוד שגירסתה של המתלוננת, בדבר מעשיו של הנאשם – כפי שמופיעים בכתב האישום – ברורים וחד משמעיים, הרי שגירסתו של הנאשם בדבר החיבוק משנה צורות או ""פוזות"" בהתייחסו לעובדה פשוטה מה באמת עשה",אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
240281,"עדותה של המתלוננת מפורטת, עקבית וברורה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים"
240529,"עדותה של המתלוננת מהימנה, וגרסתה אינה משתנה לאורך כל הדרך; הן בעימות שנערך מול הנאשם ת/9 והן בחקירות הראשית והנגדית בבית המשפט","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
252015," כפי שציינתי, גרסתה של המתלוננת מעלה ספקות באשר לאמינותה, הגרסה מתפתחת, אינה קוהרנטית ואחידה ועקב ריבוי אי הדיוקים וגם שקרים שנאמרים ללא היסוס, מעוררת הגרסה חוסר אמון","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
246428," יובהר ויודגש כי עדותה של המתלוננת אמינה ומקובלת עליי לחלוטין גם בנקודה אחרונה זו של ניסיון הנאשם לפתוח את חולצתה, ולהכניס ידו פנימה, חניקתה, עד כי התקשתה לנשום, ואמירתו ""אני יכול להרוג אותך ואני יכול עכשיו לשכב איתך""","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
240408,"עדותה של המתלוננת בחקירתה הנגדית ארוכה ומפורטת מאוד, והיא עמדה בה בצורה ראויה ומכובדת","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
276822,"גירסתה של המתלוננת, אותה כאמור העלתה לראשונה כעבור כ-5 שנים מעת קרות הארועים המפורטים לגבי התקופה הראשונה, אינה ברורה ואינה עיקבית","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
276829,גם באשר למקום בו אירע האירוע המפורט בפרט האישום הראשון גירסתה של המתלוננת אינה ברורה,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
277120,עדותה של המתלוננת לעניין פרט אישום זה אינה אמינה בעיני,"לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי
275503," לפיכך אני סבורה כי העדות של המתלוננת בפני שרירה וקיימת ומשקלה הראייתי נתון לשיקול דעתו של ביהמ""ש",לא רלוונטי,לא רלוונטי
277127, גירסה זו של המתלוננת הן לענין זה והן לעניין הביקור בביתה אינה נטולת תמיהות והיא אינה מהימנה עליי,"לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
277275,עדותה של המתלוננת לעניין פרט זה אינה מהימנה בעיני,"לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי
283877,הלכה פסוקה היא כי אם עדותה של מתלוננת בעבירות מין אינה מושלמת – אין פירושו של דבר שהיא אינה שלמה,"עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
280313,"גם תיאורה של הקטינה את אשר עשו לה הסינים האחרים, משולל היגיון פנימי או סבירות (שניהם ביחד הכניסו לה יד מתחת לחולצה), עד כדי כך, שחוקרת הילדים מתעכבת שוב ושוב על נקודה זו, עד שלא ניתן יותר להמשיך ולקבל תשובה הגיונית","לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי
301722," באופן כללי, מצאתי את עדויותיהן של כל המתלוננות אמינות",לא רלוונטי,"קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
311403," אכן, תיאורה של המתלוננת איננו מושלם","אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת) – יש פגמים אבל ההכרעה היא לטובת הנפגעת",לא רלוונטי
325460,"(ב) הגירסה של המתלוננת קוהרנטית, הגיונית, עקבית ומשתלבת היטב עם עדויות וראיות למכביר","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים
335331,"התרשמתי כי עדותה של המתלוננת מהימנה וכי היא תיארה את האירועים כהווייתם, ללא הפרזה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
338089," ברור שאם טענת הנאשם נכונה, הרי גירסתה של המתלוננת שקרית שכן היא העידה, מפורשות שהנאשם החדיר את איבר-מינו לתוך איבר-מינה ומי שסובל מאימפוטנציה לא יכול לעשות כן","לא אמינה כי לא עקבית, הציגה סתירות",לא רלוונטי
381600," לדבריה, ניתן לראות כי עדותה של המתלוננת חסרת היגיון לכל אורכה, קרי: הגרסאות השונות אותן מסרה בת/2, בנ/5 ו-בנ/7","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
364023,"הגרסה המאוחרת של המתלונן, לפיה סיפר ל- נ' על המעשים עוד בבית המעצר, והשביע אותו שלא לגלות ועתה, לאחר שנזכר בכך שיחרר את נ' משבועתו, אינה אמינה, הן לאחר כבישתה והן לאור הכחשתה על ידי נ', ואי תמיכתה על ידי י' שהיה נוכח בכל עת ש- נ' היה עם המתלונן","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
365143,"משמצאתי כי גרסתו של המתלונן מהימנה ומשכנעת בעיני ופרטתי את נימוקי למתן האמון בגרסתו של המתלונן, יש בכך כדי מילוי דרישת חובת ההנמקה על פי דין",לא רלוונטי,"קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
399239,"ב""כ הנאשם טוענים כי עדותה של המתלוננת אינה מהימנה בין היתר מאחר ונתגלו בה סתירות ואי דיוקים לרוב ודבריה באמרותיה במשטרה סותרים את דבריה בעדותה בביהמ""ש","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
350777,"         אב""ד מצאה את עדותה של המתלוננת אמינה ובאה לידי מסקנה, כי ניתן להרשיע את הנאשם בעבירות בה היא מציעה להרשיעו תוך התבססות על עדותה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם
441047,גרסתה של המתלוננת לגבי מהלך השיחה שונה,עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט,לא רלוונטי
461577," עדותה של המתלוננת אמינה כפליים, משכנעת ארבעתיים ומסתברת שבעתיים","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
430959," זאת ועוד, הסניגור ניסה, לאורך כל החקירה הנגדית, לשכנענו כי גרסתה של המתלוננת שיקרית, בדויה ואינה מתקבלת על הדעת, אולם תשובותיה והסבריה של המתלוננת היו פשוטות, ברורות והגיוניות, תוך שהיא נותרה איתנה בגרסתה בחקירה ראשית","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
444864,"כידוע,  ל, התשט""ו-1955, קובע כי אמנם עדותה של המתלוננת בפני חוקרת הילדים כשרה להתקבל כראיה, אך אין להרשיע על-פיה ""אלא אם יש לה סיוע בראיה אחרת""","עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
486641," מן האמור לעיל עולה, כי גרסתו של מתלונן ב' קוהרנטית ומהימנה בפני עצמה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
494976,"גירסתה של הקטינה כפי שנשטחה על ידה בביהמ""ש, עקבית לזו שמסרה לחוקרת הילדים (ת/4, ת/5 – קלטת ותמליל שיחה)","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים
495097,"עדותה של הקטינה, הן בפני חוקרת הילדים והן בפניי, היתה שוטפת וכנה והיו שזורים בה פרטים רבים המעידים על אותנטיות","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים
486707," גרסתו של מתלונן ג' מהימנה עליי, כשלעצמה, אולם בכך לא סגי","אמינה למרות שיש בעיות (למשל, עדות יחידה ובכל זאת מספקת) – יש פגמים אבל ההכרעה היא לטובת הנפגעת",דחיית הרשעה על בסיס עדות יחידה של המתלוננת בהעדר ראיות סיוע
496515,"מהימנות עדות המתלוננת עדותה של המתלוננת קוהרנטית, אותנטית, עקבית ומעוררת אמון והיא גם עשתה מאמץ להיצמד לאמת ולהימנע מהגזמה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
504551," עדותה של המתלוננת מהימנה, היא השתדלה מאוד לדייק והרבתה בפרטים לרבות נקיבת שמות של מקומות ואנשים שראו אותה והיו איתה בקשר במהלך האירועים, לרבות חבריו ושותפיו לדירה של הנאשם","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים"
501189," יכול שדבריו אלה של הנאשם למתלוננת בנוגע להתמצאותו בג'ודו נאמרו לצרכי התרברבות בפניה, אך, כאמור, גירסתה של המתלוננת, כי הנאשם איים עליה בעת שהיו ברכב, ועקב כך חדלה מהתנגדות פיזית ואיפשרה לנאשם לבעול אותה, נאמנה עלינו","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קביעת ממצאים עובדתיים מרשיעים על בסיס אימוץ גרסת המתלוננת ודחיית הנאשם
547468,מהימנות עדותה  של המתלוננת לנאשם ולמתלוננת גרסאות שונות וסותרות באשר למה שהתרחש במחסן ביום 11,לא רלוונטי,לא רלוונטי
530706,"גרסתה של המתלוננת עקבית כפי שעולה גם מבחינת האמרות שלה במשטרה, מיד לאחר האירוע, ולא התגלו סתירות או פגמים בעדותה","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת במלואה לאור רושם חיובי, כנות ומהימנות גבוהה"
547715,מהימנות עדות הנאשם עדותה של המתלוננת אמינה ביותר והדבר בולט על רקע אי מהימנותה של עדות הנאשם,אמינה בגלל שהנאשם לא אמין,העדפת עדותה המהימנה של המתלוננת ודחיית גרסת הנאשם עקב חוסר אמינותו
560973, התיאור של הילדה לגבי הסיטואציה הספציפית הזו של הנגיעה מאוד מפורט ומדויק,"אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים"
573220,"לו דעתי היתה נשמעת, גם כשהנחת המוצא היא שאין עדות מושלמת ואין עד מושלם, גרסאותיה של המתלוננת לא רק רחוקות מלהיות מושלמות אלא שגם העקביות מהן והלאה","לא אמינה כי לא עקבית, הציגה סתירות",דחיית עדות המתלוננת עקב חוסר עקביות וסתירות מהותיות בגרסתה
561455,"מהימנותה של המתלוננת בהמשך לאמור לעיל, ולתמיכה בגרסת המתלוננת על ידי תיאורו של העד הניטרלי, ראמי, אבהיר כי עדותה של המתלוננת אמינה בעיניי",אמינה בגלל חיזוק חיצוני,קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים
631651,"עם זאת, עדותה של המתלוננת קוהרנטית עם עדויותיהם של ילדיה, שהיו עדים למקרה – כפי שהובאו ע""י ע""ת/5, (כמו גם עם ראיות התביעה האחרות, וראיות ההגנה עצמן – כפי שיפורט להלן) – גם בנוגע לזיהוי הנאשם",אמינה בגלל חיזוק חיצוני,קבלת גרסת המתלוננת בהיותה עדות מהימנה הנתמכת בראיות סיוע וחיזוקים
634425," עדותה של המתלוננת מרכזית וחשובה לבירור אשמתו של הנאשם, אלא שהיא אזרחית פיליפינית, השוהה בישראל באופן שאינו חוקי",לא רלוונטי,לא רלוונטי
635978,"ראשית, עדותה של המתלוננת בעייתית, שכן אין זה מובן מדוע התביישה משותפתה לדירה, שמא זו תראה את הקונדום","לא אמינה כי נתפסת כנקמנית, חשש להעללה או האשמת שווא",לא רלוונטי
648258,"עדות המתלוננת עדותה של המתלוננת ואמרתה, מפורטות ועקביות ולא ניכרו בהן סתירות מהותיות","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה","קבלת עדות המתלוננת לאור תיאור מפורט, אותנטי וברור של מסכת האירועים"
650762,"גירסתה של הקטינה סדוּרה, עִקבית וקוהרנטית","אמינה כי בהירה, פשוטה, עקבית, אותנטית, ללא הגזמה",קבלת עדות הקטינה כעדות אמת מהימנה המגובה בהתרשמות חוקרת הילדים
650775,הֲלָכָה פסוקה היא כי גם אם עדותה של מתלוננת בעבירות-מין אינה מושלמת - אין פירוש הדבר שהיא אינה שלֵמה,"עוסק בעמדת הצדדים בנוגע להערכת המהימנות ולא עמדת השופט, הלכות כלליות בנוגע להערכת מהימנות, לא נוגע להערכה מהימנות כלל",לא רלוונטי
